YEARS,Tourists_Number,Overnight_Stay,Tourists_Spending,Avg_Stay,Avg_Spending_Trip,Avg_Spending_Night,Province,Tourism_Type
2022,2610,14063,5378,5.4,2061,382,Tabuk,Domestic
2022,146,764,265,5.2,1822,348,Tabuk,Domestic
2022,220,916,516,4.2,2350,563,Tabuk,Domestic
2022,397,1762,1186,4.4,2983,673,Tabuk,Domestic
2022,1675,9761,3097,5.8,1849,317,Tabuk,Domestic
2022,172,861,314,5,1825,365,Tabuk,Domestic
2022,86,1259,306,14.6,3545,243,Tabuk,Inbound
2022,298,4,2,9,3350,372,Tabuk,Inbound
2022,2,20,6,8.9,2843,320,Tabuk,Inbound
2022,298,1,932,9,5255,584,Tabuk,Inbound
2022,83,1229,296,14.9,3578,241,Tabuk,Inbound
2022,1,5,2,6.4,2025,319,Tabuk,Inbound
2023,2817,18465,4202,6.6,1491,228,Tabuk,Domestic
2023,189,1798,182,9.5,959,101,Tabuk,Domestic
2023,294,953,196,3.2,667,206,Tabuk,Domestic
2023,462,3448,282,7.5,609,82,Tabuk,Domestic
2023,1654,10881,3330,6.6,2013,306,Tabuk,Domestic
2023,217,1385,212,6.4,980,153,Tabuk,Domestic
2023,138,1177,341,8.5,2472,290,Tabuk,Inbound
2023,3,24,10,8.4,3535,423,Tabuk,Inbound
2023,12,110,32,9.5,2775,293,Tabuk,Inbound
2023,11,82,23,7.8,2145,277,Tabuk,Inbound
2023,106,910,259,8.6,2446,284,Tabuk,Inbound
2023,7,51,17,7.2,2438,340,Tabuk,Inbound
2024,3090,21462,4880,6.9,1579,227,Tabuk,Domestic
2024,207,1926,216,9.3,1039,112,Tabuk,Domestic
2024,311,1188,181,3.8,582,152,Tabuk,Domestic
2024,477,2854,308,6,644,108,Tabuk,Domestic
2024,1843,13440,3795,7.3,2059,282,Tabuk,Domestic
2024,252,2054,381,8.2,1511,185,Tabuk,Domestic
2024,154,4581,932,29.7,6050,203,Tabuk,Inbound
2024,2,104,16,42.2,6607,157,Tabuk,Inbound
2024,11,293,85,26.3,7659,291,Tabuk,Inbound
2024,9,131,20,14.1,2194,155,Tabuk,Inbound
2024,126,3866,753,30.7,5978,195,Tabuk,Inbound
2024,5,186,58,35.2,10882,309,Tabuk,Inbound
