YEARS,Tourists_Number,Overnight_Stay,Tourists_Spending,Avg_Stay,Avg_Spending_Trip,Avg_Spending_Night,Province,Tourism_Type
2023,4005,29447,4915,7.4,1227,167,Riyadh,Domestic
2024,2861,40617,10574,14.2,3696,260,Riyadh,Inbound
2024,2699,37845,10269,14,3805,271,Riyadh,Inbound
2024,162,2772,304,17.1,1881,110,Riyadh,Inbound
2024,17597,107571,29493,6.1,1676,274,Riyadh,Domestic
2024,12716,76116,25154,6,1978,330,Riyadh,Domestic
2024,4881,31455,4339,6.4,889,138,Riyadh,Domestic
2015,1164,4769,980,4.1,842,206,Tabuk,Domestic
2015,30.3,102.5,38,3.4,1262,373,Tabuk,Domestic
2015,43,190,42,4.4,975,220,Tabuk,Domestic
2015,334,1162,203,3.5,606,174,Tabuk,Domestic
2015,648,2957.5,610,4.6,941,206,Tabuk,Domestic
2015,109,357,87,3.3,804,245,Tabuk,Domestic
2015,298,1477,754,5,2529,511,Tabuk,Inbound
2015,10.4,55,37,5.3,3551,675,Tabuk,Inbound
2015,48,100,64,2.1,1331,640,Tabuk,Inbound
2015,240,1322,653,5.5,2725,494,Tabuk,Inbound
2016,1150,4936,1000,4.3,869,203,Tabuk,Domestic
2016,56.8,227,53,4,941,236,Tabuk,Domestic
2016,99,265,55,2.7,555,207,Tabuk,Domestic
2016,178,818,169,4.6,949,206,Tabuk,Domestic
2016,725.2,3362,653,4.6,900,194,Tabuk,Domestic
2016,91,264,70,2.9,766,265,Tabuk,Domestic
2016,134,914,379,6.8,2826,415,Tabuk,Inbound
2016,1.2,3.4,3,2.7,2273,831,Tabuk,Inbound
2016,14,60,34,4.1,2319,562,Tabuk,Inbound
2016,13,90,31,7.1,2433,343,Tabuk,Inbound
2016,106,760,312,7.2,2949,410,Tabuk,Inbound
2017,1228,5965,1008,4.9,821,169,Tabuk,Domestic
2017,54,453,49,8.4,917,109,Tabuk,Domestic
2017,69,233,61,3.4,892,263,Tabuk,Domestic
2017,173,662,142,3.8,816,214,Tabuk,Domestic
2017,861,4394,709,5.1,823,161,Tabuk,Domestic
2017,72,223,47,3.1,658,212,Tabuk,Domestic
2017,105,403,255,3.8,2437,635,Tabuk,Inbound
2017,9,27,24,3.1,2773,887,Tabuk,Inbound
2017,7,24,17,3.5,2436,696,Tabuk,Inbound
2017,89,351,214,3.9,2404,611,Tabuk,Inbound
2018,1246,6807,1218,5.5,977,179,Tabuk,Domestic
2018,60,453,57,7.5,951,126,Tabuk,Domestic
2018,108,446,114,4.1,1052,255,Tabuk,Domestic
2018,200,708,149,3.5,742,210,Tabuk,Domestic
2018,793,4706,811,5.9,1023,172,Tabuk,Domestic
2018,85,495,87,5.8,1032,177,Tabuk,Domestic
2018,110,542,239,4.9,2163,441,Tabuk,Inbound
2018,11,63,18,5.5,1587,287,Tabuk,Inbound
2018,6,21,10,3.6,1841,507,Tabuk,Inbound
2018,93,456,209,4.9,2252,459,Tabuk,Inbound
2018,0.3,2,1,5.3,2744,516,Tabuk,Inbound
2019,1441,8605,2050,6,1423,238,Tabuk,Domestic
2019,78,579,99,7.5,1277,171,Tabuk,Domestic
2019,148,832,266,5.6,1790,320,Tabuk,Domestic
2019,355,1558,533,4.4,1503,342,Tabuk,Domestic
2019,773,5166,1045,6.7,1352,202,Tabuk,Domestic
2019,87,470,107,5.4,1229,228,Tabuk,Domestic
2019,112,494,301,4.4,2688,609,Tabuk,Inbound
2019,0.4,2,2,5,5050,1010,Tabuk,Inbound
2019,9,60,20,6.4,2186,342,Tabuk,Inbound
2019,3,11,6,3.5,1902,551,Tabuk,Inbound
2019,99,420,272,4.3,2752,646,Tabuk,Inbound
2019,298,1,932,4.3,1838,430,Tabuk,Inbound
2020,2043,11677,2765,5.7,1354,237,Tabuk,Domestic
2020,99.2,649,97,6.6,982,150,Tabuk,Domestic
2020,230,1149,344,5,1498,299,Tabuk,Domestic
2020,686,3521,1046,5.1,1525,297,Tabuk,Domestic
2020,927.9,5636,1169,6.1,1260,207,Tabuk,Domestic
2020,100,721,108,7.2,1084,150,Tabuk,Domestic
2020,21,186,110,8.7,5138,594,Tabuk,Inbound
2020,3,46,21,14.8,6830,463,Tabuk,Inbound
2020,1,6,3,8.3,4153,501,Tabuk,Inbound
2020,17.7,134.1,86,7.6,4882,643,Tabuk,Inbound
2021,2288,12673,4286,5.5,1873,338,Tabuk,Domestic
2021,130,690,219,5.3,1680,317,Tabuk,Domestic
2021,181,799,427,4.4,2359,534,Tabuk,Domestic
2021,392,1843,935,4.7,2383,507,Tabuk,Domestic
2021,1407,8265,2460,5.9,1749,298,Tabuk,Domestic
2021,178,1076,246,6,1379,229,Tabuk,Domestic
2021,38,421,222,11.2,5907,526,Tabuk,Inbound
2021,2,7,9,3.2,3768,1181,Tabuk,Inbound
2021,298,1,1,7.8,4745,611,Tabuk,Inbound
2021,12.8,78,77,6.1,6061,988,Tabuk,Inbound
2021,22,334,135,15,6050,403,Tabuk,Inbound
